,Rank,Company,Industry,City,State,Zip,Website,Employees,"Revenue
(in millions, USD)","Valuation
(in millions, USD)","Profits
(in millions, USD)","Profits
(% of Sales)",Ticker,CEO
0,1,Walmart,General Merchandisers,Bentonville,Arkansas,72716,www.walmart.com,"2,100,000","$611,289","$397,475","$11,680",1.9,WMT,Douglas McMillon
1,2,Amazon.com,Internet Services and Retailing,Seattle,Washington,98109,www.amazon.com,"1,541,000","$513,983","$1,058,440","-$2,722",-0.5,AMZN,Andrew R. Jassy
2,3,Exxon Mobil,Petroleum Refining,Irving,Texas,75039,www.exxonmobil.com,"62,000","$413,680","$446,424","$55,740",13.5,XOM,Darren W. Woods
3,4,Apple,"Computers, Office Equipment",Cupertino,California,95014,www.apple.com,"164,000","$394,328","$2,609,039","$99,803",25.3,AAPL,Timothy D. Cook
4,5,UnitedHealth Group,Health Care: Insurance and Managed Care,Minnetonka,Minnesota,55343,www.unitedhealthgroup.com,"400,000","$324,162","$440,854","$20,120",6.2,UNH,Andrew P. Witty
5,6,CVS Health,Health Care: Pharmacy and Other Services,Woonsocket,Rhose Island,02895,www.cvshealth.com,"259,500","$322,467","$95,422","$4,149",1.3,CVS,Karen S. Lynch
6,7,Berkshire Hathaway,Insurance: Property and Casualty (Stock),Omaha,Nebraska,68131,www.berkshirehathaway.com,"383,000","$302,089","$675,657","-$22,819",-7.6,BRKA,Warren E. Buffett
7,8,Alphabet,Internet Services and Retailing,Mountain View,California,94043,www.abc.xyz,"190,234","$282,836","$1,330,201","$59,972",21.2,GOOGL,Sundar Pichai
8,9,McKesson,Wholesalers: Health Care,Irving,Texas,75039,www.mckesson.com,"66,500","$263,966","$48,757","$1,114",0.4,MCK,Brian S. Tyler
9,10,Chevron,Petroleum Refining,San Ramon,California,94583,www.chevron.com,"43,846","$246,252","$311,093","$35,465",14.4,CVX,Michael K. Wirth
10,11,AmerisourceBergen,Wholesalers: Health Care,Conshohocken,Pennsylvania,19428,www.amerisourcebergen.com,"41,500","$238,587","$32,384","$1,699",0.7,ABC,Steven H. Collis
