,Rank,Company,Industry,Address,City,State / Country,Postal Code,Country,"Revenue (in millions, USD)",Employees,Ticker,Website,CEO
0,1,Walmart,General Merchandisers,702 S.W. Eighth St.,Bentonville,Arkansas,72716,U.S.,"$572,754",2300000,WMT,www.walmart.com,C. Douglas Mcmillon
1,2,Amazon.com,Internet Services and Retailing,410 Terry Ave. N.,Seattle,Washington,98109,U.S.,"$469,822",1608000,AMZN,www.amazon.com,Andrew R. Jassy
2,3,State Grid,Utilities,86 Xichang'an Ave.,Beijing,China,100031,China,"$460,617",871145,,www.sgcc.com.cn,
3,4,China National Petroleum,Petroleum Refining,9 Dongzhimen N. St.,Beijing,China,100007,China,"$411,693",1090345,,www.cnpc.com.cn,Li Fanrong
4,5,Sinopec Group,Petroleum Refining,22 Chaoyangmen N. St.,Beijing,China,100728,China,"$401,314",542286,,www.sinopec.com,
5,6,Saudi Aramco,"Mining, Crude-Oil Production",P.O. Box 5000,Dhahran,Saudi Arabia,31311,Saudi Arabia,"$400,399",68493,,www.aramco.com,Amin H. Nasser
6,7,Apple,"Computers, Office Equipment",1 Apple Park Way,Cupertino,California,95014,U.S.,"$365,817",154000,AAPL,www.apple.com,Timothy D. Cook
7,8,Volkswagen,Motor Vehicles & Parts,Berliner Ring 2,Wolfsburg,Germany,38440,Germany,"$295,820",672789,VWAGY,www.volkswagenag.com,Herbert Diess
8,9,China State Construction Engineering,Engineering & Construction,5 Anding Rd.,Beijing,China,100029,China,"$293,712",368327,,www.cscec.com,Zhou Naixiang
9,10,CVS Health,Health Care: Pharmacy and Other Services,1 CVS Dr.,Woonsocket,Rhode Island,02895,U.S.,"$292,111",258000,CVS,www.cvshealth.com,Karen S. Lynch
10,11,UnitedHealth Group,Health Care: Insurance and Managed Care,9900 Bren Rd. E.,Minnetonka,Minnesota,55343,U.S.,"$287,597",350000,UNH,www.unitedhealthgroup.com,Andrew P. Witty
